it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
314,36,8,8, 20, 6,30
315,36,8,8, 20, 6,30
316,36,8,8, 20, 6,30
317,36,8,8, 20, 6,30
318,36,8,8, 20, 6,30
319,36,8,8, 20, 6,30
320,36,8,8, 20, 6,30
321,37,9,8, 20, 6,31
322,37,9,8, 20, 6,31
323,37,9,8, 20, 6,31
324,37,9,8, 20, 6,31
325,38,10,8, 20, 6,32
326,38,10,8, 20, 6,32
327,39,11,8, 20, 7,32
328,39,11,8, 20, 7,32
329,40,11,8, 21, 7,33
330,40,11,8, 21, 7,33
331,40,11,8, 21, 7,33
332,40,11,8, 21, 7,33
333,41,12,8, 21, 8,33
334,41,12,8, 21, 8,33
335,42,12,8, 22, 8,34
336,42,12,8, 22, 8,34
337,42,12,8, 22, 8,34
338,42,12,8, 22, 8,34
339,43,12,8, 23, 8,35
340,43,12,8, 23, 8,35
341,43,12,8, 23, 8,35
342,43,12,8, 23, 8,35
343,43,12,8, 23, 8,35
344,43,12,8, 23, 8,35
345,43,12,8, 23, 8,35
346,43,12,8, 23, 8,35
347,43,12,8, 23, 8,35
348,43,12,8, 23, 8,35
349,43,12,8, 23, 8,35
350,43,12,8, 23, 8,35
351,43,12,8, 23, 8,35
352,43,12,8, 23, 8,35
353,43,12,8, 23, 8,35
354,43,12,8, 23, 8,35
355,43,12,8, 23, 8,35
356,43,12,8, 23, 8,35
357,43,12,8, 23, 8,35
358,43,12,8, 23, 8,35
359,43,12,8, 23, 8,35
360,43,12,8, 23, 8,35
361,44,13,8, 23, 8,36
362,44,13,8, 23, 8,36
363,44,13,8, 23, 8,36
364,44,13,8, 23, 8,36
365,45,14,8, 23, 8,37
366,45,14,8, 23, 8,37
367,45,14,8, 23, 8,37
368,45,14,8, 23, 8,37
369,45,14,8, 23, 8,37
370,45,14,8, 23, 8,37
371,45,14,8, 23, 8,37
372,45,14,8, 23, 8,37
373,46,15,8, 23, 8,38
374,46,15,8, 23, 8,38
375,46,15,8, 23, 8,38
